,loss,accuracy,val_loss,val_accuracy
0,0.6851941347122192,0.5323331952095032,0.6792033314704895,0.5366430282592773
1,0.678860604763031,0.5323331952095032,0.6766918897628784,0.5366430282592773
2,0.6762058734893799,0.5323331952095032,0.6739261746406555,0.5366430282592773
3,0.6734111905097961,0.5323331952095032,0.6710742712020874,0.5366430282592773
4,0.6705971956253052,0.5323331952095032,0.6685093641281128,0.5366430282592773
5,0.667608916759491,0.5323331952095032,0.6652896404266357,0.5366430282592773
6,0.6645806431770325,0.5323331952095032,0.6622663736343384,0.5366430282592773
7,0.6615028977394104,0.5323331952095032,0.6591936945915222,0.5366430282592773
8,0.6586503386497498,0.5352546572685242,0.6561715006828308,0.5366430282592773
9,0.6555306911468506,0.5333596467971802,0.6531681418418884,0.5366430282592773
10,0.652396559715271,0.539834201335907,0.6505409479141235,0.5971631407737732
11,0.6494876742362976,0.5759968161582947,0.6471461057662964,0.5446808338165283
12,0.6464245915412903,0.555230975151062,0.6445569396018982,0.6728132367134094
13,0.6434018015861511,0.6256612539291382,0.6411152482032776,0.554137110710144
14,0.6403161287307739,0.5829451084136963,0.6383458971977234,0.681796669960022
15,0.6373193264007568,0.6810106635093689,0.6351526379585266,0.5654846429824829
16,0.6342993974685669,0.6199763417243958,0.6323557496070862,0.7281323671340942
17,0.6313615441322327,0.6899328827857971,0.6292372941970825,0.6955083012580872
18,0.6283760070800781,0.7015396952629089,0.626218318939209,0.6704491972923279
19,0.6256076693534851,0.7180418372154236,0.6234998106956482,0.7952718734741211
20,0.6224614381790161,0.7752072811126709,0.6204258799552917,0.6382978558540344
21,0.6195172071456909,0.7489932775497437,0.6174320578575134,0.7479905486106873
22,0.6165963411331177,0.7729964256286621,0.6145049929618835,0.7541370987892151
23,0.613650918006897,0.7889459133148193,0.6117029786109924,0.8293144106864929
24,0.6107653975486755,0.8311883211135864,0.6087202429771423,0.7938534021377563
25,0.6080741882324219,0.8180813193321228,0.6058551669120789,0.7891253232955933
26,0.6051449179649353,0.8312672972679138,0.603123128414154,0.7394798994064331
27,0.6021960377693176,0.8255823254585266,0.6001690626144409,0.8411347270011902
